A 刻,B 双,C 音乐,D 其他,E 声音,a1 yi3,1,おばさん（a1 yi2）
3,"您好，我们翻译，每 1000 字 150 元人民币。这些信息在公司网站上都有详细的介绍，您有什么特别要求或任何不清楚的地方欢迎和我们联系。
★ 说话人正在做什么？
",总结,招聘,介绍,道歉,3,HSK4級サンプルより
3,"大部分人每天晚上至少应该睡 7 个小时，但是这个标准并不适合每一个人，有些人即使只睡 5 个小时也很有精神。
★ 每天晚上睡 7 个小时适合：
",儿童,胖子,所有人,大部分人,4,HSK4級サンプルより
3,"很多时候孩子发脾气是为了得到一些好处，父母不能因为孩子发脾气就给他好处。如果我们不重视这个问题，他就容易养成发脾气的坏习惯。
 ★ 孩子发脾气主要是因为：
",缺少关心,父母批评他,想得到好处,想引起别人注意,3,HSK4級サンプルより
3,"什么是真正的朋友？有些人觉得就是能和自己一起快乐的人，其实朋友应该像镜子，能帮你看清自己的缺点；无论你成功或者失败，永远都支持你。
 ★ 这段话主要谈：
",谁能成功,学会改变,怎样支持朋友,什么是真朋友,4,HSK4級サンプルより
1,变化　の発音は？,bian4 hua4,bian4 hua1,bian4 hua2,bian4 hua3,1,変化（bian4 hua4）
1,表示　の発音は？,biao3 shi4,biao3 shi1,biao3 shi2,biao3 shi3,1,表現する（biao3 shi4）
1,表演　の発音は？,biao3 yan3,biao2 yan3,biao3 yuan3,biao2 yuan3,1,演じる（biao3 yan3）
1,别人　の発音は？,bie2 ren2,bie3 ren2,bie3 ren3,bie3 ren4,1,人（bie2 ren2）
1,宾馆　の発音は？,bin1 guan3,bin4 guan3,bin3 guan3,bin2 guan3,1,ゲストハウス（bin1 guan3）
1,冰箱　の発音は？,bing1 xiang1,bing4 xiang1,bing4 xiang2,bing4 xiang3,1,冷蔵庫（bing1 xiang1）
1,才　の発音は？,cai2,cai1,cai4,cai3,1,だけ（cai2）
1,菜单　の発音は？,cai4 dan1,cai1 dan1,cai4 dan4,cai1 dan4,1,メニュー（cai4 dan1）
1,参加　の発音は？,can1 jia1,can2 jia1,can4 jia1,can4 jia4,1,参加する（can1 jia1）
1,草　の発音は？,cao3,cao1,cao2,cao4,1,草（cao3）
1,层　の発音は？,ceng2,ceng1,cong2,cong1,1,層、階（ceng2）
1,差　の発音は？,cha4,cha1,qia4,qia1,1,違い（cha4）
1,超市　の発音は？,chao2 shi4,chao1 shi4,chao3 shi4,chao4 shi4,2,スーパーマーケット（chao1 shi4）
1,衬衫　の発音は？,cheng4 shan1,chen4 shan1,chun4 shan1,chu4 shan1,2,シャツ（chen4 shan1）
1,成绩　の発音は？,cheng2 ji1,cheng2 ji4,cheng2 ji3,cheng2 ji2,2,成績（cheng2 ji4）
1,城市　の発音は？,chang2 shi4,cheng2 shi4,chang3 shi4,cheng3 shi4,2,街（cheng2 shi4）
1,迟到　の発音は？,zhi2 dao4,chi2 dao4,zhi1 dao4,chi1 dao4,2,遅れる（chi2 dao4）
1,出现　の発音は？,chu2 xian4,chu1 xian4,chu3 xian4,chu4 xian4,2,現れる（chu1 xian4）
1,厨房　の発音は？,chu1 fang2,chu2 fang2,chu3 fang2,chu4 fang2,2,キッチン（chu2 fang2）
1,除了　の発音は？,chu1 le5,chu2 le5,chu3 le5,chu4 le5,2,以外（chu2 le5）
1,春　の発音は？,chun4,chun1,chun2,chun3,2,春（chun1）
1,词语　の発音は？,ci1 yu3,ci2 yu3,ci3 yu3,ci4 yu3,2,用語（ci2 yu3）
1,聪明　の発音は？,cong1 ming4,cong1 ming5,cong2 ming4,cong2 ming5,2,賢い（cong1 ming5）
1,打扫　の発音は？,da3 sao2,da3 sao3,da3 sao4,da3 sao1,2,掃除する（da3 sao3）
1,打算　の発音は？,da3 suan3,da3 suan4,da3 suan2,da3 suan1,2,する予定（da3 suan4）
1,带　の発音は？,dai3,dai4,dai1,dai2,2,持って（dai4）
1,担心　の発音は？,dan3 xin1,dan1 xin1,dan1 xin2,dan3 xin2,2,心配（dan1 xin1）
1,蛋糕　の発音は？,dan4 gao4,dan4 gao1,dan4 gao2,dan4 gao3,2,ケーキ（dan4 gao1）
1,当然　の発音は？,deng1 ran2,dang1 ran2,deng2 ran2,dang2 ran2,2,勿論（dang1 ran2）
1,灯　の発音は？,deng3,dang3,deng1,dang1,3,ライト（deng1）
1,低　の発音は？,di3,di4,di1,di2,3,低い（di1）
1,地方　の発音は？,di1 fang1,di1 fang2,di4 fang1,di4 fang2,3,場所（di4 fang1）
1,地铁　の発音は？,di1 tie3,di1 tie2,di4 tie3,di4 tie2,3,地下鉄（di4 tie3）
1,地图　の発音は？,di1 tu2,di1 tu3,di4 tu2,di4 tu3,3,マップ（di4 tu2）
